"SYMBOL"
"GNB1"
"GNG2"
"LPAR2"
"NFKB1"
"CDK2"
"CDK4"
"GSK3B"
"PDGFRB"
"SYK"
"EGFR"
"JAK3"
"NTRK1"
"CREB1"
"IL2"
"KIT"
"PGF"
"VEGFA"
"AKT1"
"AKT2"
"AKT3"
"CASP9"
"PRKAA1"
"SGK2"
"NOS3"
