"from","to","combined_score"
"CA12","CA14",654
"CA12","CA9",688
"CA12","CA4",710
"CA12","ESR1",413
"MIF","MMP9",503
"MIF","CXCL12",519
"MMP2","MMP1",921
"MMP2","APP",672
"MMP2","JUN",655
"MMP2","MMP9",908
"MMP2","CXCL12",764
"MMP2","BACE1",674
"MMP2","ESR1",560
"MMP2","FOS",522
"MMP2","F3",433
"TTR","APP",943
"ABCG2","CYP1B1",423
"ABCG2","ESR1",534
"PTGER2","PTGER4",854
"Tyrosinase","ESR1",427
